Edad,Sexo,IngTotalPrin,IngLiquiPrin,IngTotalSecun,IngLiquiSecun,HorasTrabajadasPrin,HorasTrabajadasSecun,montogeneral,HorasTrabajadasTotal,clustPT
35,Hombre,75,75,120,120,32,24,195,56,1
18,Hombre,480,480,200,200,24,18,680,42,1
58,Hombre,175,175,900,900,63,35,1075,98,2
47,Mujer,1200,1044,600,600,36,28,1644,64,2
25,Hombre,420,420,909,909,42,15,1329,57,1
43,Mujer,240,240,600,600,24,24,840,48,2
29,Hombre,480,480,930,930,48,21,1410,69,1
38,Mujer,90,90,700,700,24,25,790,49,1
21,Hombre,1052,915,200,200,56,2,1115,58,1
19,Mujer,300,300,25,25,48,18,325,66,1
26,Hombre,1300,1100,120,120,50,5,1220,55,1
37,Hombre,2500,1975,1000,1000,36,63,2975,99,2
28,Mujer,5000,3850,210,210,40,24,4060,64,1
21,Hombre,1300,1300,1000,1000,30,7,2300,37,1
32,Mujer,5280,4580,500,500,48,9,5080,57,1
20,Mujer,500,500,180,180,58,10,680,68,1
27,Hombre,1300,1300,500,500,30,24,1800,54,1
39,Mujer,4200,1640,2200,1914,36,30,3554,66,2
21,Hombre,50,50,60,60,16,10,110,26,1
50,Hombre,4200,2232,630,630,46,20,2862,66,2
38,Mujer,150,150,30,30,42,5,180,47,1
20,Hombre,930,822,400,400,30,15,1222,45,1
45,Hombre,1720,1600,140,140,44,12,1740,56,2
37,Hombre,660,660,60,60,41,12,720,53,1
32,Mujer,600,600,30,30,60,3,630,63,1
36,Hombre,180,180,90,90,24,16,270,40,1
53,Hombre,930,810,300,300,72,12,1110,84,2
47,Mujer,200,200,520,520,30,8,720,38,2
41,Mujer,2500,1875,1200,1200,35,10,3075,45,2
21,Hombre,390,390,180,180,48,56,570,104,1
53,Hombre,1200,1044,1299,1299,48,5,2343,53,2
23,Hombre,50,50,60,60,8,5,110,13,1
24,Mujer,500,500,100,100,20,5,600,25,1
34,Hombre,1200,1200,650,650,40,5,1850,45,1
54,Hombre,300,300,800,800,36,36,1100,72,2
27,Hombre,2400,843,320,320,27,6,1163,33,1
57,Hombre,180,180,120,120,40,16,300,56,2
59,Mujer,600,600,400,400,15,8,1000,23,2
23,Mujer,200,200,75,75,2,4,275,6,1
57,Mujer,12,12,40,40,8,4,52,12,2
35,Mujer,200,200,200,200,27,9,400,36,1
19,Hombre,500,500,1200,1200,27,24,1700,51,1
53,Hombre,2480,2198,1480,1480,25,38,3678,63,2
29,Hombre,400,400,600,600,20,12,1000,32,1
18,Mujer,700,700,160,160,36,4,860,40,1
26,Hombre,5500,4410,500,500,84,6,4910,90,1
31,Mujer,1150,1000,150,150,32,14,1150,46,1
24,Mujer,60,60,30,30,24,1,90,25,1
14,Hombre,60,60,200,200,12,21,260,33,1
20,Hombre,60,60,200,200,21,14,260,35,1
54,Hombre,3600,3300,1200,1200,48,24,4500,72,2
66,Hombre,3200,2384,550,478,40,10,2862,50,2
62,Hombre,1300,590,400,400,50,30,990,80,2
55,Hombre,4320,4000,1050,880,20,20,4880,40,2
48,Hombre,200,200,150,150,14,12,350,26,2
43,Hombre,2500,1562,600,600,50,20,2162,70,2
24,Mujer,1200,1080,1200,1080,36,24,2160,60,1
41,Hombre,4000,3697,1000,1000,43,8,4697,51,2
30,Hombre,4000,3470,2000,2000,6,22,5470,28,1
21,Hombre,150,150,30,30,30,7,180,37,1
50,Hombre,2410,2100,1150,1000,36,24,3100,60,2
50,Mujer,509,450,40,40,20,4,490,24,2
19,Mujer,110,110,100,100,24,6,210,30,1
57,Hombre,3500,3045,300,300,50,3,3345,53,2
29,Mujer,100,100,40,40,16,8,140,24,1
48,Mujer,950,950,500,500,48,24,1450,72,2
66,Hombre,7000,5950,3000,2700,70,4,8650,74,2
32,Hombre,400,302,100,100,45,6,402,51,1
54,Hombre,6000,5400,1200,1200,40,20,6600,60,2
28,Mujer,40,40,45,45,24,7,85,31,1
19,Hombre,400,400,300,300,35,12,700,47,1
60,Hombre,6000,5182,2000,1728,48,12,6910,60,2
20,Mujer,200,200,300,300,30,30,500,60,1
49,Mujer,950,826,150,150,48,13,976,61,2
22,Hombre,1500,1500,80,80,45,11,1580,56,1
28,Mujer,5000,3950,2000,2000,40,30,5950,70,1
51,Mujer,300,300,173,173,20,16,473,36,2
64,Hombre,7500,3100,700,602,6,8,3702,14,2
21,Hombre,60,60,50,50,15,5,110,20,1
37,Hombre,2500,2175,2400,2088,20,20,4263,40,2
70,Hombre,300,300,400,400,10,41,700,51,2
47,Hombre,2500,2175,500,435,40,4,2610,44,2
53,Hombre,3900,2240,800,800,77,4,3040,81,2
36,Mujer,1500,1305,1500,1500,42,36,2805,78,2
51,Mujer,180,180,130,130,30,6,310,36,2
54,Mujer,300,300,298,298,36,25,598,61,2
38,Hombre,1000,1000,400,400,44,30,1400,74,2
36,Mujer,900,900,800,800,54,49,1700,103,2
50,Mujer,1200,1044,1000,1000,42,42,2044,84,2
57,Mujer,2600,2260,1000,1000,60,20,3260,80,2
50,Hombre,3450,1118,1210,1055,31,16,2173,47,2
40,Hombre,280,280,240,240,44,20,520,64,1
44,Mujer,555,484,500,500,24,24,984,48,2
18,Hombre,230,230,300,300,39,14,530,53,1
18,Hombre,200,200,100,100,55,5,300,60,1
25,Hombre,200,200,180,180,24,16,380,40,1
33,Mujer,2000,2000,500,500,30,10,2500,40,1
34,Hombre,1160,1160,30,30,49,9,1190,58,1
57,Mujer,1200,1044,216,216,36,9,1260,45,2
54,Hombre,3566,1296,303,303,55,16,1599,71,2
39,Mujer,200,200,40,40,32,2,240,34,1
28,Hombre,160,160,160,160,16,32,320,48,1
51,Mujer,90,90,180,180,10,20,270,30,2
48,Hombre,900,900,600,600,24,24,1500,48,2
50,Hombre,400,400,800,800,40,8,1200,48,2
31,Hombre,2300,2300,180,180,40,8,2480,48,1
19,Hombre,850,850,100,100,36,18,950,54,1
24,Hombre,30,30,258,258,8,24,288,32,1
14,Mujer,20,20,50,50,14,40,70,54,1
37,Mujer,2000,1740,1000,1000,60,12,2740,72,2
22,Mujer,500,500,50,50,44,2,550,46,1
44,Hombre,3200,2900,500,500,36,10,3400,46,2
19,Mujer,210,210,20,20,65,4,230,69,1
31,Hombre,700,700,1500,1500,25,10,2200,35,1
22,Hombre,400,400,50,50,60,4,450,64,1
32,Mujer,790,790,160,160,40,13,950,53,1
58,Hombre,2300,701,250,250,40,2,951,42,2
24,Hombre,200,200,60,60,40,8,260,48,1
41,Mujer,350,350,100,100,18,10,450,28,1
35,Mujer,600,600,150,150,40,14,750,54,1
33,Mujer,390,390,30,30,40,14,420,54,1
38,Hombre,2319,1269,500,500,42,6,1769,48,2
33,Hombre,160,160,303,303,33,16,463,49,1
30,Hombre,950,829,30,30,48,24,859,72,1
50,Hombre,40,40,400,400,6,18,440,24,2
45,Hombre,100,100,150,150,4,2,250,6,1
27,Mujer,850,850,160,160,40,5,1010,45,1
58,Hombre,200,200,600,600,32,16,800,48,2
27,Hombre,330,330,180,180,50,8,510,58,1
30,Hombre,1000,1000,1000,1000,25,15,2000,40,1
42,Mujer,1100,1100,30,30,24,10,1130,34,2
49,Hombre,700,550,600,600,72,20,1150,92,2
23,Hombre,240,240,720,720,36,36,960,72,1
40,Hombre,930,810,50,50,48,8,860,56,2
60,Hombre,7000,3625,6000,850,36,40,4475,76,2
56,Hombre,3500,3120,6000,4200,50,4,7320,54,2
22,Mujer,150,150,480,480,30,24,630,54,1
35,Hombre,2300,2000,100,100,47,16,2100,63,1
24,Hombre,180,180,1150,1000,36,36,1180,72,1
24,Hombre,1248,1086,120,120,40,8,1206,48,1
39,Mujer,350,350,280,280,77,16,630,93,1
60,Hombre,140,140,40,40,28,4,180,32,2
31,Mujer,160,160,240,240,14,24,400,38,1
43,Mujer,450,450,300,300,35,35,750,70,2
21,Mujer,120,120,217,217,38,20,337,58,1
51,Mujer,100,100,150,150,16,16,250,32,2
42,Hombre,1800,1566,160,160,40,16,1726,56,2
51,Mujer,4200,2836,300,300,32,6,3136,38,2
55,Mujer,1500,1305,600,600,60,6,1905,66,2
50,Mujer,3300,3165,800,800,40,20,3965,60,2
20,Mujer,950,855,430,430,48,4,1285,52,1
61,Hombre,3200,2824,2100,1854,40,15,4678,55,2
18,Hombre,70,70,300,300,15,42,370,57,1
61,Hombre,90,90,150,150,18,40,240,58,2
58,Hombre,180,180,50,50,54,10,230,64,2
61,Mujer,4000,3480,700,700,60,8,4180,68,2
25,Mujer,35,35,15,15,60,5,50,65,1
30,Mujer,214,214,30,30,16,6,244,22,1
48,Mujer,1150,1008,560,560,72,35,1568,107,2
52,Hombre,930,930,450,450,48,5,1380,53,2
67,Hombre,6800,5116,2000,2000,45,20,7116,65,2
32,Hombre,1600,1600,1005,1005,40,21,2605,61,1
55,Hombre,210,210,150,150,42,11,360,53,2
15,Mujer,40,40,12,12,16,4,52,20,1
25,Hombre,930,810,75,75,32,15,885,47,1
42,Hombre,200,200,935,837,32,32,1037,64,2
38,Hombre,400,400,300,300,10,20,700,30,1
60,Hombre,1100,1030,30,30,48,3,1060,51,2
35,Mujer,585,585,75,75,40,12,660,52,1
47,Hombre,1020,890,140,140,48,6,1030,54,2
55,Mujer,2500,2175,930,930,16,24,3105,40,2
33,Mujer,400,400,1139,1139,6,48,1539,54,1
40,Hombre,800,800,50,50,24,4,850,28,1
56,Mujer,3000,2610,1000,1000,34,10,3610,44,2
35,Mujer,5000,3950,3000,2510,47,12,6460,59,2
40,Mujer,700,700,6000,6000,74,20,6700,94,2
30,Mujer,3400,2692,2400,2128,36,10,4820,46,1
46,Mujer,200,200,1818,1818,15,65,2018,80,2
23,Hombre,900,820,140,140,30,5,960,35,1
34,Hombre,2000,1870,400,400,48,4,2270,52,1
23,Mujer,200,200,30,30,40,5,230,45,1
